,Year,State,Deceased Donors,Living Donors,Total Transplants,Kidney Transplants,Liver Transplants,Heart Transplants,Lung Transplants,Women Donors,Men Donors,Transgender Donors,Organ Donation Rate (pmp),People Pledged (NOTTO),Online Pledges (Tamil Nadu)
31,2021,Tamil Nadu,247,109,128,700,375,18,50,264,672,4,0.58,237300,11500
32,2020,Tamil Nadu,177,645,537,528,64,21,8,20,648,5,0.56,333418,10747
33,2020,Gujarat,217,880,342,180,164,14,14,60,303,2,0.45,362702,10910
34,2023,Maharashtra,277,365,1117,640,234,14,35,87,477,3,1.1,188041,6919
35,2021,Tamil Nadu,284,214,496,608,266,25,16,49,342,5,0.26,394979,11327
36,2020,Maharashtra,71,989,1130,94,114,36,9,421,142,2,1.99,63390,4338
37,2024,Maharashtra,22,602,51,35,49,45,11,548,259,5,1.01,53516,3589
38,2023,Punjab,89,892,609,586,122,21,23,432,199,1,1.95,155167,5439
39,2020,Maharashtra,103,848,441,333,393,23,0,453,266,1,0.72,404599,165
40,2023,Gujarat,61,450,425,165,218,45,23,148,605,1,1.18,119011,12048
41,2020,Uttar Pradesh,54,161,244,715,122,31,39,245,188,2,0.47,445991,1604
42,2021,Karnataka,14,793,124,120,397,2,27,62,453,4,1.93,95903,17087
43,2022,Rajasthan,199,360,89,360,38,48,43,184,625,4,0.14,129634,13679
44,2021,Karnataka,196,640,373,614,321,26,12,435,559,0,1.36,24934,7626
45,2024,Rajasthan,254,577,554,213,368,37,14,214,424,0,0.95,46127,7894
46,2024,Punjab,234,585,128,119,144,39,23,284,15,1,1.31,247101,4132
47,2020,Gujarat,182,991,716,732,22,37,19,203,160,0,1.94,19726,4253
48,2023,Maharashtra,264,659,113,210,142,29,31,438,37,1,0.23,124972,4240
49,2023,Punjab,195,770,745,667,283,2,26,495,566,1,0.73,427844,7565
50,2021,Telangana,284,115,689,233,6,2,37,652,230,4,0.91,93739,8882
51,2020,Tamil Nadu,254,63,106,526,136,0,28,299,306,5,1.65,484497,15609
52,2020,Kerala,140,434,1144,183,216,16,6,363,615,2,0.48,413340,5049
53,2021,Karnataka,20,674,670,283,90,44,48,211,203,1,1.45,272561,12258
54,2022,Delhi,103,238,851,362,218,45,3,204,243,3,1.82,128620,771
55,2023,Gujarat,158,710,203,676,117,7,47,9,238,3,0.38,459316,12411
56,2020,Telangana,3,37,623,321,322,38,33,521,610,3,0.51,100811,12573
57,2021,Punjab,61,102,1,143,41,9,29,384,470,1,0.38,497074,1993
58,2021,Punjab,141,1000,393,237,228,24,22,467,2,2,0.97,19456,12178
59,2024,Kerala,179,461,598,26,268,44,21,246,228,0,1.96,213900,16004
60,2023,Kerala,108,444,301,668,165,0,49,612,117,1,1.06,14181,7980
61,2021,Rajasthan,18,433,1044,77,154,41,9,453,84,2,0.26,176160,7550
62,2022,Uttar Pradesh,61,989,134,340,3,20,3,0,277,5,1.67,38314,18277
63,2023,Rajasthan,97,931,614,763,248,21,35,406,299,3,1.13,160822,374
64,2024,Rajasthan,179,943,1116,513,339,46,14,79,628,0,1.75,281314,10691
65,2021,Uttar Pradesh,291,147,122,551,27,26,37,122,132,4,1.49,411925,3988
66,2023,Tamil Nadu,190,175,462,198,198,26,4,496,236,1,1.87,33424,13263
67,2023,Delhi,158,946,841,578,112,48,8,232,434,0,1.55,116963,16044
68,2021,Punjab,195,535,558,778,63,20,48,479,527,4,1.18,226370,2472
69,2022,Telangana,191,344,93,679,109,40,10,106,585,4,1.05,440817,17549
70,2020,Punjab,22,642,858,54,220,17,35,152,484,3,1.73,140471,13670
71,2020,Uttar Pradesh,75,49,754,116,274,34,36,409,616,1,1.21,53689,12247
72,2020,Maharashtra,244,117,628,164,44,29,19,254,214,2,0.32,325490,6443
73,2021,Kerala,133,832,1020,124,126,42,15,332,410,3,1.1,401052,5341
74,2021,Delhi,268,375,966,287,114,18,0,577,387,1,0.95,60786,10792
75,2023,Maharashtra,153,719,1042,327,137,29,0,284,212,2,0.51,416532,112
76,2022,Karnataka,228,799,329,141,260,7,11,676,522,1,1.08,461392,7231
77,2022,Maharashtra,293,278,541,681,376,12,11,338,593,1,0.53,237724,8213
78,2024,Delhi,166,868,995,137,249,49,12,84,581,5,0.27,112600,840
79,2020,Tamil Nadu,245,898,206,60,115,26,33,74,93,2,1.42,175402,19783
80,2022,Uttar Pradesh,89,467,519,743,31,0,1,32,427,3,0.19,179154,15323
81,2020,Uttar Pradesh,292,454,379,199,347,1,26,200,666,4,1.06,132501,6906
82,2021,Telangana,299,751,476,257,258,22,15,94,359,5,0.47,189318,9693
83,2023,Gujarat,89,485,959,374,67,45,9,414,278,1,0.18,433090,8152
84,2023,Maharashtra,147,503,239,630,101,31,19,424,0,2,0.85,386082,15029
85,2022,Gujarat,258,344,1028,721,360,4,12,234,524,4,0.46,499822,4920
86,2021,Kerala,45,785,173,313,376,19,18,670,554,2,1.06,191155,11861
87,2021,Karnataka,169,154,1054,749,107,7,16,567,514,4,1.53,41628,16656
88,2024,Kerala,138,488,1104,468,357,40,7,590,452,0,1.25,425336,3373
89,2022,Tamil Nadu,59,815,666,303,184,10,29,346,392,4,0.96,341936,7843
90,2024,Delhi,205,587,1053,273,392,45,38,452,574,3,1.92,493757,933
91,2021,Maharashtra,156,29,419,732,183,41,1,93,103,1,1.97,124471,13129
92,2021,Uttar Pradesh,43,960,924,614,329,8,35,628,102,2,1.96,300626,15677
93,2020,Punjab,52,343,596,239,37,16,36,127,659,5,0.28,173990,448
94,2024,Kerala,2,338,98,799,22,43,8,595,420,4,0.63,20896,15812
95,2022,Tamil Nadu,23,849,263,514,233,48,7,520,398,4,0.28,38421,14317
96,2024,Rajasthan,279,166,766,562,0,5,48,276,653,3,1.33,38995,8594
97,2022,Delhi,204,250,65,270,33,30,23,116,235,3,0.18,143480,11734
98,2024,Maharashtra,74,153,427,760,170,16,25,597,123,1,1.71,386731,11004
99,2021,Delhi,227,914,293,230,122,24,5,156,668,2,0.2,163403,4758
100,2021,Gujarat,293,106,287,330,236,5,35,569,569,4,0.37,485416,4698
101,2021,Karnataka,38,733,1200,316,359,27,30,226,177,5,0.28,9695,9255
102,2023,Karnataka,196,62,842,729,25,9,38,342,605,5,1.15,268058,832
103,2020,Punjab,156,443,449,765,72,36,12,227,468,4,0.84,255374,14018
104,2020,Tamil Nadu,130,865,369,646,11,35,39,114,553,4,0.5,456516,8719
105,2023,Maharashtra,163,283,713,460,137,3,9,512,650,2,1.67,432075,4012
106,2024,Rajasthan,169,629,419,204,228,26,23,459,363,3,0.43,432327,12801
107,2021,Delhi,22,880,102,205,266,23,35,375,386,4,0.18,367492,734
108,2021,Kerala,125,884,696,209,168,16,26,619,74,5,1.2,31793,5779
109,2020,Kerala,238,632,873,332,199,50,16,431,678,0,1.54,376007,12620
110,2021,Kerala,283,60,256,472,335,39,12,484,56,2,1.66,97758,13749
111,2020,Telangana,228,396,1101,47,60,15,23,379,84,0,1.05,203639,7747
112,2021,Uttar Pradesh,85,35,1137,27,152,39,25,481,662,5,0.92,10904,8489
113,2020,Kerala,14,112,655,434,314,42,42,247,405,2,1.62,161225,19049
114,2024,Kerala,240,192,81,457,244,36,11,136,606,5,1.18,176847,3231
115,2022,Kerala,191,752,822,494,392,5,8,202,217,0,0.94,32879,13655
116,2023,Kerala,177,494,659,345,262,15,3,302,635,5,1.37,86968,5795
117,2022,Tamil Nadu,203,841,43,499,53,26,40,301,647,4,0.91,306024,2526
118,2023,Punjab,40,562,628,200,201,5,12,618,521,5,1.42,171490,10646
119,2021,Maharashtra,98,898,729,679,58,41,10,263,584,4,1.0,249524,8041
120,2022,Kerala,181,272,667,418,160,10,18,529,473,5,1.68,264603,10681
121,2023,Uttar Pradesh,89,535,20,479,164,3,45,681,87,2,0.23,146117,19280
122,2020,Uttar Pradesh,204,597,812,648,8,15,11,135,572,0,1.62,124795,19796
123,2023,Karnataka,173,833,790,97,169,40,6,163,253,4,1.95,22679,10385
124,2021,Gujarat,18,440,394,710,52,15,43,63,252,3,1.05,46854,12391
125,2023,Maharashtra,174,662,651,423,5,18,0,417,551,5,0.14,282880,13571
126,2024,Maharashtra,285,276,274,105,47,44,46,64,362,2,0.36,491145,18502
127,2022,Rajasthan,204,789,375,498,76,8,0,656,172,1,1.78,156825,4511
128,2021,Tamil Nadu,266,377,563,420,173,34,6,259,592,3,1.35,386374,10162
129,2022,Kerala,193,490,553,364,275,33,14,194,3,5,1.15,246313,9532
130,2020,Gujarat,44,523,52,152,335,18,40,118,411,5,0.5,201264,18999
131,2021,Karnataka,27,946,1019,275,244,47,10,7,2,1,1.46,88371,2461
132,2024,Delhi,29,254,961,182,12,25,46,153,375,4,0.69,158,4081
133,2024,Tamil Nadu,145,783,319,757,359,3,0,605,630,5,1.39,311536,15499
134,2020,Karnataka,291,222,223,206,305,44,38,435,72,2,0.35,343455,2738
135,2021,Rajasthan,139,265,130,105,102,40,21,296,477,1,0.44,366533,12015
136,2023,Telangana,283,988,775,608,12,7,36,478,353,4,1.63,152721,3754
137,2020,Kerala,20,215,884,173,162,45,12,665,678,1,0.67,307942,4083
138,2020,Gujarat,97,314,876,741,7,34,40,288,613,3,1.1,235293,18118
139,2021,Uttar Pradesh,8,650,1016,622,303,48,3,324,521,0,0.55,84992,8396
140,2020,Tamil Nadu,271,153,753,365,306,40,1,640,627,1,0.66,94162,5708
141,2023,Delhi,247,642,451,441,10,34,27,538,240,1,1.34,15447,534
142,2024,Karnataka,1,68,1031,155,293,46,45,266,111,3,0.88,153018,9902
143,2023,Tamil Nadu,181,350,1158,688,279,49,38,200,42,3,0.98,386721,13493
144,2021,Punjab,85,264,201,704,54,41,30,342,329,5,1.05,130523,4351
145,2020,Maharashtra,44,379,740,280,342,22,29,76,560,4,1.0,142705,16671
146,2022,Uttar Pradesh,130,948,815,573,65,8,50,659,529,5,0.96,456193,19362
147,2021,Maharashtra,55,117,915,279,308,48,45,338,366,0,1.94,62595,9598
148,2024,Uttar Pradesh,193,875,1148,252,388,23,48,249,59,5,0.65,233248,7975
149,2020,Punjab,152,823,161,36,249,50,48,570,433,4,1.83,151703,9025
150,2022,Maharashtra,72,7,1043,181,138,32,10,310,595,1,2.0,492323,1973
151,2022,Karnataka,120,550,1160,117,9,19,9,126,216,0,1.29,183140,16083
152,2023,Maharashtra,32,320,952,68,200,14,39,138,401,2,1.74,10190,1693
153,2022,Telangana,185,497,291,216,114,40,24,582,181,0,0.85,229022,9876
154,2023,Gujarat,257,736,344,169,85,35,11,163,104,4,1.74,402550,1001
155,2022,Delhi,202,203,1044,197,321,27,10,363,472,2,1.07,110880,15187
156,2023,Telangana,142,152,906,42,123,1,11,616,199,3,0.82,102113,1092
157,2020,Uttar Pradesh,77,968,39,198,55,45,17,362,68,3,0.38,95032,4208
158,2024,Rajasthan,115,701,1180,711,116,43,50,379,403,5,0.9,316967,9363
159,2022,Gujarat,270,137,1143,506,243,30,4,628,29,0,1.68,83580,17008
160,2022,Punjab,107,534,431,487,139,28,11,509,126,1,0.64,425595,5784
161,2020,Delhi,11,215,460,20,169,15,45,372,384,4,1.92,40641,4519
162,2023,Punjab,4,43,5,413,389,22,30,599,598,0,0.56,344269,4320
163,2024,Uttar Pradesh,239,58,433,549,212,48,36,128,688,3,0.29,135186,5999
164,2022,Kerala,84,174,38,565,179,45,33,440,156,2,1.51,238179,14883
165,2024,Rajasthan,66,618,663,268,52,2,19,363,532,0,1.58,443008,13366
166,2023,Delhi,182,576,236,650,237,2,32,216,245,5,0.11,79445,16974
167,2024,Uttar Pradesh,140,229,165,430,298,28,15,630,248,1,1.8,161329,14220
168,2023,Rajasthan,41,198,1191,690,194,22,29,696,605,3,1.21,256983,2749
169,2024,Punjab,107,767,33,563,284,22,26,103,121,3,1.55,182740,15914
170,2021,Rajasthan,239,597,1020,199,354,11,16,599,225,3,1.73,251167,18822
171,2024,Uttar Pradesh,19,165,25,155,279,8,43,443,434,0,1.65,253663,11653
172,2022,Uttar Pradesh,139,181,1158,703,34,13,9,274,317,5,0.53,91283,15546
173,2022,Maharashtra,265,745,140,715,124,11,15,172,66,4,0.37,75590,3744
174,2023,Rajasthan,86,201,836,558,350,27,18,530,558,3,1.32,202991,9266
175,2022,Tamil Nadu,52,440,375,15,85,15,28,494,561,0,1.64,208592,1656
176,2020,Karnataka,56,294,563,54,201,39,35,115,457,3,1.97,49629,6487
177,2020,Delhi,25,653,598,341,397,10,44,512,499,1,0.4,481781,18130
178,2022,Tamil Nadu,136,498,697,192,232,20,35,80,97,1,0.92,261060,9135
179,2021,Maharashtra,202,938,425,47,19,36,26,540,488,5,0.34,460159,10215
180,2021,Delhi,134,915,371,199,342,35,18,551,481,2,0.27,226935,1947
181,2021,Tamil Nadu,273,601,605,276,364,50,43,439,581,1,0.94,326310,13641
182,2023,Gujarat,142,843,206,79,302,8,40,362,303,4,1.1,174569,12887
183,2021,Telangana,14,859,569,127,141,29,1,33,88,2,0.48,366598,2716
184,2023,Kerala,36,764,521,371,128,41,29,177,461,2,1.97,34964,3760
185,2020,Kerala,211,908,134,144,103,44,14,351,355,0,1.35,121077,2442
186,2022,Gujarat,262,190,218,443,50,48,29,612,368,1,1.13,67900,8349
187,2024,Telangana,166,354,504,263,365,13,38,250,19,5,0.61,287071,10663
188,2020,Telangana,139,342,453,467,200,46,45,668,616,5,1.05,21477,13644
189,2024,Tamil Nadu,253,859,261,323,267,7,4,55,385,3,0.59,263801,829
190,2020,Uttar Pradesh,134,181,947,671,299,29,11,68,27,3,0.69,249339,19813
191,2020,Karnataka,299,972,220,491,278,48,6,626,401,0,0.77,454741,2388
192,2020,Tamil Nadu,55,402,536,463,389,45,12,398,152,1,0.27,19190,14832
193,2023,Delhi,252,802,505,166,372,38,33,402,72,2,1.14,301706,2750
194,2023,Kerala,54,908,296,369,122,36,23,67,491,3,1.72,6161,19681
195,2024,Telangana,11,593,338,62,214,27,30,136,370,3,0.97,34513,17214
196,2020,Kerala,188,46,1106,707,166,43,34,165,395,3,1.63,36428,14502
197,2021,Karnataka,159,676,1088,696,152,29,34,480,467,0,1.13,301696,8500
198,2023,Kerala,119,853,136,360,13,14,32,336,590,5,0.98,496159,19496
199,2020,Maharashtra,246,528,449,141,388,23,2,532,519,3,0.89,79547,17929
200,2024,Gujarat,226,600,286,753,264,26,50,269,430,4,0.78,468454,3205
201,2021,Uttar Pradesh,217,506,766,74,344,25,21,452,11,1,1.19,78128,11207
202,2024,Maharashtra,298,315,415,176,392,41,0,548,65,3,1.71,445767,11725
203,2024,Delhi,32,350,274,674,300,13,7,148,429,0,0.78,326932,12458
204,2023,Karnataka,21,47,1195,95,348,16,28,626,538,1,1.88,185006,16545
205,2024,Telangana,208,909,334,590,326,11,27,503,48,2,0.94,250868,8415
206,2021,Rajasthan,299,479,224,322,267,49,24,72,414,2,1.08,295322,6240
207,2021,Rajasthan,49,784,451,241,309,27,26,666,456,3,0.13,43740,9146
208,2023,Delhi,136,589,301,507,230,13,43,492,256,3,1.22,2148,9038
209,2023,Karnataka,31,630,925,767,200,43,21,257,74,4,0.8,186459,4480
210,2024,Maharashtra,285,106,953,750,195,3,37,650,526,3,0.78,32102,9821
211,2024,Uttar Pradesh,255,258,329,316,381,5,40,283,18,4,1.0,459150,9073
212,2024,Maharashtra,225,406,246,664,23,25,7,328,31,5,0.36,50070,65
213,2022,Karnataka,279,600,1138,409,14,23,28,584,471,2,0.28,7398,8434
214,2021,Rajasthan,256,349,11,643,231,5,8,115,242,0,1.24,209594,14251
215,2023,Tamil Nadu,221,711,790,252,23,32,30,364,428,2,0.43,162504,5829
216,2024,Kerala,17,3,582,431,97,42,46,36,349,5,0.22,274189,5083
217,2023,Rajasthan,237,836,197,628,201,40,35,533,472,5,0.95,489375,8741
218,2022,Kerala,24,249,948,497,297,42,8,127,278,4,1.22,90466,4024
219,2022,Maharashtra,149,188,363,563,215,32,8,590,3,0,1.34,457360,14745
220,2020,Rajasthan,8,979,393,425,278,29,16,416,171,0,1.07,489998,2070
221,2023,Rajasthan,41,470,543,82,114,22,25,250,507,2,0.23,60880,16662
222,2022,Maharashtra,153,25,1004,502,146,36,45,480,262,0,1.6,422512,11998
223,2022,Kerala,195,930,904,589,41,25,8,554,224,3,1.65,160871,12766
224,2020,Kerala,215,243,184,58,206,29,42,459,218,0,0.64,109969,16514
225,2021,Maharashtra,64,97,475,573,279,33,46,311,574,0,1.44,82546,15064
226,2021,Maharashtra,132,741,1166,783,30,21,36,313,344,5,1.16,310603,17936
227,2022,Punjab,171,90,922,27,160,4,46,630,230,4,0.56,16592,9522
228,2023,Kerala,115,228,1122,186,175,31,43,11,36,1,0.35,232669,19405
229,2022,Kerala,217,11,908,175,315,44,8,266,29,0,1.75,179262,7298
230,2024,Punjab,11,136,822,287,247,27,12,363,353,4,1.35,45584,19358
231,2022,Uttar Pradesh,172,57,548,739,374,46,26,38,191,1,1.05,473712,2143
232,2021,Punjab,235,369,539,532,236,1,23,236,343,5,0.59,81343,18884
233,2023,Maharashtra,37,851,975,371,189,41,0,459,312,4,1.78,217999,7741
234,2020,Rajasthan,67,599,333,74,374,21,12,506,597,3,1.91,66225,8249
235,2020,Delhi,56,530,870,596,309,47,22,310,613,2,0.1,76573,7201
236,2021,Delhi,198,698,309,682,18,25,37,495,133,2,1.49,285944,12061
237,2024,Maharashtra,149,841,541,227,240,9,42,636,57,0,0.64,487170,19873
238,2022,Kerala,179,990,635,342,20,45,0,138,659,5,1.88,339466,3375
239,2024,Tamil Nadu,159,440,577,514,321,25,23,387,604,3,0.42,422387,11580
240,2023,Punjab,71,609,528,88,241,49,7,474,539,1,0.37,425342,13315
241,2020,Maharashtra,70,700,174,200,236,49,13,322,344,3,0.17,348607,4367
242,2024,Kerala,222,291,524,104,2,22,11,411,430,5,0.56,481713,5751
243,2020,Rajasthan,0,450,191,45,16,17,18,683,685,0,1.45,382985,14004
244,2020,Telangana,8,210,101,236,243,36,42,290,409,5,1.2,294337,12569
245,2020,Tamil Nadu,267,979,357,313,292,14,4,71,462,3,1.04,106096,16378
246,2020,Kerala,4,258,1018,186,196,16,30,409,117,1,0.28,391098,4037
247,2020,Karnataka,127,726,531,145,348,29,31,609,166,3,0.26,438885,9057
248,2023,Maharashtra,151,757,1113,745,117,3,18,497,451,2,1.3,48370,6108
249,2021,Delhi,90,10,834,275,276,27,7,267,250,5,1.3,339902,1683
250,2020,Delhi,175,580,455,291,229,33,21,344,644,2,0.88,31092,13825
251,2024,Delhi,220,289,460,591,370,22,40,219,327,1,1.96,132255,19156
252,2021,Punjab,0,61,381,389,12,32,33,501,615,2,0.95,398013,12047
253,2021,Gujarat,176,799,386,301,207,22,29,693,316,3,1.25,431276,19958
254,2020,Uttar Pradesh,253,626,303,408,375,34,8,542,659,0,0.37,313386,149
255,2023,Karnataka,211,109,164,785,400,26,25,258,447,0,0.97,24050,4096
256,2022,Tamil Nadu,150,287,202,151,380,35,35,184,257,4,1.04,55509,10071
257,2020,Uttar Pradesh,9,286,783,700,57,23,9,476,68,0,0.59,351631,593
258,2024,Kerala,181,911,554,420,289,46,22,359,185,1,0.73,222769,2591
259,2022,Kerala,38,871,26,517,386,40,26,695,311,5,1.65,179221,4475
260,2021,Karnataka,242,619,1115,583,183,1,14,623,647,2,1.49,374332,17454
261,2023,Uttar Pradesh,136,471,1130,707,250,6,12,58,655,3,1.83,384948,17713
262,2022,Uttar Pradesh,84,711,581,607,56,30,42,505,203,5,1.8,268479,13871
263,2024,Rajasthan,108,646,1173,682,157,6,44,505,270,5,0.8,440734,11767
264,2022,Telangana,232,759,109,167,264,47,10,11,439,2,0.29,276989,3657
265,2021,Kerala,278,1,977,603,365,17,34,461,539,0,0.28,473735,12960
266,2020,Uttar Pradesh,82,451,1021,221,168,26,15,456,684,5,0.38,402952,17146
267,2022,Telangana,246,387,944,672,181,34,49,536,39,2,1.27,56302,14814
268,2024,Gujarat,245,797,631,675,308,3,1,276,649,0,0.2,14401,141
269,2021,Punjab,156,111,591,54,209,13,48,689,623,3,0.98,497799,525
270,2023,Telangana,70,177,423,100,377,20,40,510,508,5,1.41,182154,6648
271,2023,Punjab,271,676,902,784,194,35,5,583,79,2,1.76,291876,9739
272,2022,Maharashtra,63,459,129,729,44,49,8,186,690,3,1.8,186637,3659
273,2024,Tamil Nadu,168,53,516,718,310,20,31,646,696,4,1.4,279847,1733
274,2023,Rajasthan,269,236,690,790,10,31,6,598,95,5,1.86,335253,11459
275,2024,Kerala,284,254,814,35,321,5,23,670,226,0,0.96,334300,10783
276,2023,Uttar Pradesh,42,346,1196,446,261,23,18,600,455,4,1.41,256542,14514
277,2020,Rajasthan,259,718,633,30,186,33,1,631,672,1,1.34,161268,17943
278,2023,Delhi,142,320,1180,577,305,0,27,373,97,2,1.65,123712,11983
279,2023,Rajasthan,50,930,673,663,208,49,10,483,339,4,1.14,87328,14402
280,2022,Kerala,39,150,477,220,167,27,10,668,387,3,0.59,168687,10203
281,2021,Uttar Pradesh,106,340,141,148,112,16,20,580,289,5,1.06,27012,10020
282,2024,Telangana,123,22,572,233,388,16,7,509,52,5,1.17,117175,13156
283,2020,Gujarat,127,567,170,796,220,34,49,97,308,1,1.65,25851,5399
284,2021,Gujarat,296,174,100,47,202,23,36,559,71,5,1.04,233100,1249
285,2021,Delhi,183,835,419,45,128,49,5,323,15,1,1.89,197224,3280
286,2020,Rajasthan,191,830,276,536,331,26,3,276,270,2,1.22,292099,802
287,2021,Delhi,233,182,899,520,100,46,36,501,589,1,1.37,198290,18610
288,2021,Karnataka,198,938,480,117,344,9,6,538,436,3,0.15,219761,4671
289,2020,Karnataka,81,939,279,741,218,49,50,301,228,2,0.35,311904,4701
290,2022,Karnataka,284,384,259,508,352,49,0,699,604,0,0.73,375854,16774
291,2020,Punjab,68,79,1094,304,194,24,4,81,653,4,1.6,497507,5460
292,2021,Punjab,101,792,86,417,364,19,7,346,589,3,0.51,178235,1364
293,2020,Delhi,193,125,138,234,393,37,21,544,256,3,0.81,458738,17451
294,2022,Maharashtra,58,918,106,396,188,23,25,45,154,1,1.6,30470,8104
295,2024,Kerala,17,25,721,666,391,40,12,681,91,1,1.87,72442,14964
296,2022,Tamil Nadu,75,520,216,761,62,15,11,178,254,1,1.13,239546,12898
297,2023,Punjab,57,111,22,730,72,26,13,261,180,0,0.93,370772,16456
298,2024,Rajasthan,160,959,1055,336,160,41,28,15,3,1,1.45,182465,14706
299,2023,Kerala,90,781,102,390,32,46,0,221,699,4,0.66,92318,7052
300,2023,Tamil Nadu,185,993,158,596,28,44,6,373,507,4,1.54,104868,16602
301,2024,Telangana,214,65,320,284,51,43,15,467,542,0,1.73,148806,12702
302,2023,Punjab,241,189,700,222,256,8,31,352,202,1,0.41,141955,15035
303,2022,Tamil Nadu,272,341,78,585,279,3,33,427,287,0,0.73,268359,17569
304,2020,Kerala,288,863,622,590,249,7,14,502,653,0,1.51,144808,12423
305,2020,Uttar Pradesh,198,163,588,433,176,28,47,106,155,3,0.25,285928,9972
306,2022,Uttar Pradesh,229,942,961,63,168,32,45,258,286,2,1.07,284827,1189
307,2022,Delhi,212,967,1006,595,305,50,10,285,326,2,1.75,422490,2043
308,2023,Punjab,103,167,712,76,237,41,39,231,645,5,1.83,202043,14074
309,2020,Punjab,238,430,1038,712,317,41,19,251,22,2,1.25,85489,17705
310,2022,Tamil Nadu,133,626,337,779,223,47,3,427,420,0,1.27,177781,6554
311,2022,Tamil Nadu,162,296,1015,225,47,2,16,566,679,2,1.38,238917,12635
312,2022,Gujarat,7,68,782,31,213,11,41,545,505,2,0.44,160382,640
313,2024,Telangana,15,961,1103,527,221,7,33,45,607,0,0.11,399974,9685
314,2020,Tamil Nadu,24,905,364,571,346,45,8,216,699,2,1.4,208998,3043
315,2020,Uttar Pradesh,175,227,1116,20,138,20,33,661,221,0,1.24,309617,12873
316,2023,Karnataka,111,631,320,680,219,5,2,591,420,5,1.62,476857,15650
317,2022,Punjab,78,200,140,584,10,46,17,89,500,3,0.88,242008,11999
318,2022,Telangana,173,624,51,107,130,28,1,259,48,0,0.2,63546,12830
319,2024,Delhi,285,742,95,296,4,30,2,568,185,4,1.54,483316,4509
320,2023,Uttar Pradesh,60,976,824,562,42,0,15,201,79,5,1.85,493409,15614
321,2020,Kerala,256,920,334,679,85,10,48,91,137,4,0.31,173774,11006
322,2022,Delhi,169,887,241,644,327,34,8,78,272,1,1.19,423683,11802
323,2020,Tamil Nadu,167,604,327,125,67,2,19,460,620,3,1.85,90506,18359
324,2024,Maharashtra,273,748,435,472,218,10,45,170,137,1,1.06,371359,5363
325,2021,Gujarat,23,630,712,228,130,2,16,161,85,3,1.46,252184,8365
326,2024,Rajasthan,64,231,264,483,208,6,16,219,381,2,0.52,139727,16412
327,2023,Maharashtra,219,53,497,705,309,47,45,643,593,4,1.02,485230,12825
328,2023,Uttar Pradesh,208,520,400,657,41,29,28,316,153,2,0.89,238975,4463
